NUMERO_POLICE,DATE_EFFET_DT,DATE_EXPIRATION_DT,ANNEE,TYPE,WILAYA_CODE,WILAYA,COMMUNE_CODE,COMMUNE,CAPITAL_ASSURE,PRIME_NETTE,ZONE_RPA,ZONE_SCORE,PML_RATE,PML_EXPOSE
19313003240549,,,,Bien Immobilier,19,SETIF,1182,SETIF,2334500.0,1517.42,Zone IIa,2.0,0.12,280140.0
5302003240064,,,,Bien Immobilier,5,BATNA,174,BATNA,1860000.0,1500.0,Zone I,1.0,0.05,93000.0
34205003240091,,,,Bien Immobilier,34,B.B ARRERIDJ,368,BORDJ BOU ARRERIDJ,7000000.0,0.0,Zone IIa,2.0,0.12,840000.0
15310003240399,,,,Bien Immobilier,15,TIZI OUZOU,1487,MECHTRASS,1225000.0,1500.0,Zone IIa,2.0,0.12,147000.0
25307003240068,,,,Installation Commerciale,25,CONSTANTINE,514,DIDOUCHE MOURAD,1500000.0,2500.0,Zone IIa,2.0,0.12,180000.0
19313003240442,,,,Bien Immobilier,19,SETIF,1182,SETIF,6820000.0,4433.0,Zone IIa,2.0,0.12,818400.0
16314003240204,,,,Bien Immobilier,16,ALGER,130,EL MOURADIA,4230000.0,3172.5,Zone III,4.0,0.3,1269000.0
43301003240196,,,,Bien Immobilier,43,MILA,877,CHELGHOUM LAID,547750.0,1500.0,Zone IIa,2.0,0.12,65730.0
6306003240145,,,,Bien Immobilier,6,BEJAIA,283,OUED GHIR,2573620.0,1672.85,Zone IIa,2.0,0.12,308834.39999999997
15304063240014,,,,Bien Immobilier,15,TIZI OUZOU,1488,MEKLA,2800000.0,2240.0,Zone IIa,2.0,0.12,336000.0
9306003240077,,,,Bien Immobilier,9,BLIDA,360,OULED YAICH BLIDA,2470000.0,1852.5,Zone III,4.0,0.3,741000.0
19313003240605,,,,Bien Immobilier,19,SETIF,1182,SETIF,875000.0,1500.0,Zone IIa,2.0,0.12,105000.0
34303003240101,,,,Bien Immobilier,34,B.B ARRERIDJ,368,BORDJ BOU ARRERIDJ,1960000.0,1500.0,Zone IIa,2.0,0.12,235200.0
16331003240096,,,,Bien Immobilier,16,ALGER,143,OULED FAYET,4000000.0,3000.0,Zone III,4.0,0.3,1200000.0
19308003240497,,,,Bien Immobilier,11,TAMENRASSET,1158,EL EULMA,2240000.0,1500.0,Zone 0,0.0,0.01,22400.0
15203003240096,,,,Bien Immobilier,15,TIZI OUZOU,1503,TIZI OUZOU,1015000.0,1500.0,Zone IIa,2.0,0.12,121800.0
42305003240316,,,,Bien Immobilier,42,TIPAZA,1404,HADJOUT,446500.0,1500.0,Zone III,4.0,0.3,133950.0
5304003240003,,,,Bien Immobilier,5,BATNA,174,BATNA,558880.0,1500.0,Zone I,1.0,0.05,27944.0
16328003240112,,,,Bien Immobilier,16,ALGER,133,HUSSEIN DEY,940000.0,1500.0,Zone III,4.0,0.3,282000.0
19314003240142,,,,Bien Immobilier,19,SETIF,1182,SETIF,1786840.0,1500.0,Zone IIa,2.0,0.12,214420.8
15304003240061,,,,Bien Immobilier,15,TIZI OUZOU,1503,TIZI OUZOU,3500000.0,0.0,Zone IIa,2.0,0.12,420000.0
34301003240524,,,,Installation Commerciale,34,B.B ARRERIDJ,381,HASNAOUA,4000000.0,2500.0,Zone IIa,2.0,0.12,480000.0
19309003240653,,,,Bien Immobilier,19,SETIF,1158,EL EULMA,4235000.0,2752.75,Zone IIa,2.0,0.12,508200.0
25216003240094,,,,Bien Immobilier,25,CONSTANTINE,515,EL KHROUB,3030300.0,0.0,Zone IIa,2.0,0.12,363636.0
34301003240275,,,,Installation Commerciale,34,B.B ARRERIDJ,368,BORDJ BOU ARRERIDJ,2000000.0,2500.0,Zone IIa,2.0,0.12,240000.0
19304003240259,,,,Installation Commerciale,19,SETIF,1158,EL EULMA,1000000.0,2500.0,Zone IIa,2.0,0.12,120000.0
29301003240228,,,,Bien Immobilier,29,MASCARA,786,MASCARA,2326450.0,1512.19,Zone IIa,2.0,0.12,279174.0
19302003240033,,,,Bien Immobilier,19,SETIF,1158,EL EULMA,644800.0,1800.0,Zone IIa,2.0,0.12,77376.0
35303053240241,,,,Bien Immobilier,16,ALGER,146,REGHAIA,1444000.0,1500.0,Zone III,4.0,0.3,433200.0
23302083240002,,,,Installation Commerciale,21,SKIKDA,1277,SKIKDA,3000000.0,2500.0,Zone IIa,2.0,0.12,360000.0
6209003240207,,,,Bien Immobilier,6,BEJAIA,283,OUED GHIR,13950000.0,9067.5,Zone IIa,2.0,0.12,1674000.0
19308003240312,,,,Bien Immobilier,19,SETIF,1149,BIR EL ARCH,5005000.0,3253.25,Zone IIa,2.0,0.12,600600.0
19307003240055,,,,Bien Immobilier,19,SETIF,1145,BENI FOUDA,2077000.0,1800.0,Zone IIa,2.0,0.12,249240.0
3202003240054,,,,Bien Immobilier,3,LAGHOUAT,749,LAGHOUAT,1550000.0,1500.0,Zone I,1.0,0.05,77500.0
35303053240326,,,,Bien Immobilier,16,ALGER,146,REGHAIA,456000.0,1500.0,Zone III,4.0,0.3,136800.0
16335003240405,,,,Bien Immobilier,16,ALGER,139,MOHAMMADIA ALGER,9400000.0,7050.0,Zone III,4.0,0.3,2820000.0
34301003240113,,,,Installation Commerciale,34,B.B ARRERIDJ,368,BORDJ BOU ARRERIDJ,2000000.0,2500.0,Zone IIa,2.0,0.12,240000.0
15310003240918,,,,Bien Immobilier,15,TIZI OUZOU,1487,MECHTRASS,1260000.0,1500.0,Zone IIa,2.0,0.12,151200.0
19304003240101,,,,Bien Immobilier,19,SETIF,1158,EL EULMA,1901200.0,1500.0,Zone IIa,2.0,0.12,228144.0
28303003240208,,,,Bien Immobilier,28,M SILA,972,SIDI AISSA,840000.0,1500.0,Zone I,1.0,0.05,42000.0
15304003240030,,,,Bien Immobilier,15,TIZI OUZOU,1503,TIZI OUZOU,10000000.0,6500.0,Zone IIa,2.0,0.12,1200000.0
5302013240082,,,,Bien Immobilier,5,BATNA,173,BARIKA,496000.0,1500.0,Zone I,1.0,0.05,24800.0
34301003240672,,,,Installation Commerciale,34,B.B ARRERIDJ,368,BORDJ BOU ARRERIDJ,2000000.0,2500.0,Zone IIa,2.0,0.12,240000.0
43306003240040,,,,Bien Immobilier,43,MILA,885,MILA,2874900.0,1868.68,Zone IIa,2.0,0.12,344988.0
15308003240482,,,,Bien Immobilier,15,TIZI OUZOU,1503,TIZI OUZOU,2325000.0,1511.25,Zone IIa,2.0,0.12,279000.0
14301003240187,,,,Bien Immobilier,14,TIARET,1384,TIARET,2263000.0,1500.0,Zone I,1.0,0.05,113150.0
15203003240191,,,,Installation Commerciale,15,TIZI OUZOU,1503,TIZI OUZOU,2000000.0,2500.0,Zone IIa,2.0,0.12,240000.0
42305003240695,,,,Bien Immobilier,42,TIPAZA,1404,HADJOUT,1410000.0,1500.0,Zone III,4.0,0.3,423000.0
6310003240062,,,,Bien Immobilier,6,BEJAIA,259,BARBACHA,2800000.0,1820.0,Zone IIa,2.0,0.12,336000.0
5303003240553,,,,Bien Immobilier,5,BATNA,172,ARRIS,2000740.0,1500.0,Zone I,1.0,0.05,100037.0
31203003240100,,,,Installation Commerciale,31,ORAN,1019,ORAN,1000000.0,2500.0,Zone IIa,2.0,0.12,120000.0
16332003240111,,,,Bien Immobilier,16,ALGER,109,BIR KHADEM,8460000.0,6345.0,Zone III,4.0,0.3,2538000.0
16328003240028,,,,Bien Immobilier,16,ALGER,134,HYDRA,2631500.0,1973.62,Zone III,4.0,0.3,789450.0
5303003240724,,,,Bien Immobilier,5,BATNA,172,ARRIS,2577960.0,1546.78,Zone I,1.0,0.05,128898.0
5303003240705,,,,Bien Immobilier,5,BATNA,172,ARRIS,2232000.0,1500.0,Zone I,1.0,0.05,111600.0
